rule,date,rank,code,name,auction_pct,close_vs_open_pct,win,score
gap-only-v11,2026-08-10,1,001358,兴欣新材,2.989,1.848,1,99.482
gap-only-v11,2026-08-10,2,000657,中钨高新,2.97,5.671,1,98.623
gap-only-v11,2026-08-10,3,603137,恒尚节能,3.055,-2.764,0,97.521
gap-only-v11,2026-08-10,4,600984,建设机械,2.941,7.108,1,97.326
gap-only-v11,2026-08-10,5,002235,安妮股份,3.081,-0.237,0,96.338
gap-only-v11,2026-08-10,6,002457,青龙管业,2.862,3.509,1,93.746
gap-only-v11,2026-08-10,7,002943,宇晶股份,3.142,-5.284,0,93.528
gap-only-v11,2026-08-10,8,603002,宏昌电子,2.857,-1.993,0,93.506
gap-only-v11,2026-08-10,9,603399,永杉锂业,3.161,3.419,1,92.669
gap-only-v11,2026-08-10,10,600962,国投中鲁,2.838,-2.98,0,92.631
gap-only-v11,2026-08-11,1,002757,南兴股份,2.975,-1.545,0,98.856
gap-only-v11,2026-08-11,2,603619,中曼石油,3.046,-1.48,0,97.903
gap-only-v11,2026-08-11,3,603106,恒银科技,3.062,6.949,1,97.162
gap-only-v11,2026-08-11,4,600582,天地科技,3.08,-1.848,0,96.36
gap-only-v11,2026-08-11,5,603353,和顺石油,2.907,-2.807,0,95.763
gap-only-v11,2026-08-11,6,002716,湖南白银,2.872,-0.851,0,94.197
gap-only-v11,2026-08-11,7,600664,哈药股份,3.191,6.782,1,91.296
gap-only-v11,2026-08-11,8,002364,中恒电气,3.226,1.118,1,89.633
gap-only-v11,2026-08-11,9,000410,沈阳机床,2.767,0.791,1,89.4
gap-only-v11,2026-08-11,10,002518,科士达,2.755,-0.299,0,88.878
gap-only-v11,2026-08-12,1,000967,盈峰环境,3.001,-3.001,0,99.951
gap-only-v11,2026-08-12,2,603050,科林电气,2.99,-1.55,0,99.547
gap-only-v11,2026-08-12,3,002739,儒意电影,2.964,3.557,1,98.383
gap-only-v11,2026-08-12,4,603897,长城科技,2.951,7.035,1,97.785
gap-only-v11,2026-08-12,5,000426,兴业银锡,2.918,0.645,1,96.256
gap-only-v11,2026-08-12,6,002400,省广集团,3.184,2.894,1,91.646
gap-only-v11,2026-08-12,7,600481,双良节能,3.189,-1.139,0,91.406
gap-only-v11,2026-08-12,8,000807,云铝股份,2.754,-1.983,0,88.833
gap-only-v11,2026-08-12,9,002929,润建股份,3.261,-3.913,0,87.899
gap-only-v11,2026-08-12,10,000815,美利云,3.284,-4.078,0,86.76
gap-only-v11,2026-08-13,1,603220,中贝通信,3.001,-2.34,0,99.954
gap-only-v11,2026-08-13,2,002990,盛视科技,2.954,-3.029,0,97.901
gap-only-v11,2026-08-13,3,002951,金时科技,2.873,-2.078,0,94.221
gap-only-v11,2026-08-13,4,603269,海鸥股份,3.132,-2.847,0,93.995
gap-only-v11,2026-08-13,5,603219,富佳股份,3.158,-4.737,0,92.823
gap-only-v11,2026-08-13,6,002364,中恒电气,2.837,0.553,1,92.601
gap-only-v11,2026-08-13,7,002851,麦格米特,3.167,1.767,1,92.397
gap-only-v11,2026-08-13,8,002552,宝鼎科技,3.213,-5.56,0,90.27
gap-only-v11,2026-08-13,9,002929,润建股份,2.772,-1.933,0,89.623
gap-only-v11,2026-08-13,10,002281,光迅科技,3.227,-3.324,0,89.598
gap-only-v11,2026-08-14,1,605136,丽人丽妆,3.001,-3.121,0,99.945
gap-only-v11,2026-08-14,2,603887,城地香江,2.962,-7.526,0,98.29
gap-only-v11,2026-08-14,3,600052,东望时代,3.046,-1.269,0,97.923
gap-only-v11,2026-08-14,4,601579,会稽山,3.152,3.897,1,93.097
gap-only-v11,2026-08-14,5,001359,平安电工,3.169,0.833,1,92.314
gap-only-v11,2026-08-14,6,600821,金开新能,3.217,-6.294,0,90.079
gap-only-v11,2026-08-14,7,600726,华电能源,3.235,-8.676,0,89.164
gap-only-v11,2026-08-14,8,000962,东方钽业,3.248,1.303,1,88.548
gap-only-v11,2026-08-14,9,605179,一鸣食品,2.692,-7.239,0,86.009
gap-only-v11,2026-08-14,10,603236,移远通信,2.675,-0.555,0,85.246
gap-only-v11,2026-08-17,1,000892,欢瑞世纪,3.0,-2.0,0,100.0
gap-only-v11,2026-08-17,2,002432,九安医疗,2.991,0.301,1,99.609
gap-only-v11,2026-08-17,3,000408,藏格矿业,3.013,-0.76,0,99.403
gap-only-v11,2026-08-17,4,002651,利君股份,2.98,7.032,1,99.079
gap-only-v11,2026-08-17,5,603102,百合股份,3.041,6.969,1,98.134
gap-only-v11,2026-08-17,6,002724,海洋王,2.95,2.95,1,97.721
gap-only-v11,2026-08-17,7,000962,东方钽业,2.944,1.011,1,97.447
gap-only-v11,2026-08-17,8,002428,云南锗业,3.061,4.873,1,97.213
gap-only-v11,2026-08-17,9,600547,山东黄金,2.897,-0.307,0,95.321
gap-only-v11,2026-08-17,10,601609,金田股份,3.105,3.836,1,95.226
